,CUSTOMER_ID,CHURN_PROBABILITY,ORIGINAL_CHURN_LABEL,PREDICTED_CHURN_LABEL
128,C100183,1.0,STAY,STAY
129,C100184,1.0,LEAVE,LEAVE
130,C100185,1.0,LEAVE,LEAVE
131,C100186,1.0,STAY,LEAVE
132,C100187,1.0,LEAVE,STAY
133,C100188,1.0,LEAVE,LEAVE
134,C100190,1.0,STAY,LEAVE
135,C100192,1.0,LEAVE,LEAVE
136,C100195,1.0,LEAVE,LEAVE
137,C100197,1.0,STAY,LEAVE
138,C100198,1.0,STAY,LEAVE
139,C100199,1.0,LEAVE,LEAVE
140,C100200,1.0,STAY,LEAVE
141,C100201,1.0,LEAVE,LEAVE
142,C100202,1.0,LEAVE,LEAVE
143,C100203,1.0,LEAVE,LEAVE
144,C100204,1.0,LEAVE,STAY
145,C100205,1.0,STAY,STAY
146,C100206,1.0,LEAVE,LEAVE
147,C100207,1.0,STAY,STAY
148,C100208,1.0,STAY,STAY
149,C100209,1.0,STAY,LEAVE
150,C100210,1.0,STAY,LEAVE
151,C100211,1.0,STAY,STAY
152,C100213,1.0,STAY,STAY
153,C100214,1.0,LEAVE,LEAVE
154,C100215,1.0,STAY,STAY
155,C100216,1.0,STAY,LEAVE
156,C100218,1.0,STAY,STAY
157,C100219,1.0,LEAVE,LEAVE
158,C100220,1.0,STAY,LEAVE
159,C100221,1.0,LEAVE,STAY
160,C100222,1.0,LEAVE,STAY
161,C100223,1.0,LEAVE,STAY
162,C100224,1.0,STAY,STAY
163,C100225,1.0,LEAVE,STAY
164,C100226,1.0,STAY,STAY
165,C100227,1.0,STAY,LEAVE
166,C100229,1.0,STAY,LEAVE
167,C100230,1.0,LEAVE,LEAVE
168,C100232,1.0,STAY,STAY
169,C100233,1.0,STAY,STAY
170,C100234,1.0,STAY,LEAVE
171,C100236,1.0,LEAVE,LEAVE
172,C100238,1.0,LEAVE,LEAVE
173,C100239,1.0,STAY,STAY
174,C100241,1.0,LEAVE,STAY
175,C100242,1.0,STAY,STAY
176,C100243,1.0,STAY,STAY
177,C100244,1.0,STAY,STAY
178,C100246,1.0,LEAVE,LEAVE
179,C100249,1.0,LEAVE,LEAVE
180,C100250,1.0,STAY,LEAVE
181,C100251,1.0,STAY,LEAVE
182,C100252,1.0,LEAVE,STAY
183,C100255,1.0,STAY,LEAVE
184,C100256,1.0,LEAVE,LEAVE
185,C100257,1.0,LEAVE,LEAVE
186,C100258,1.0,LEAVE,LEAVE
187,C100259,1.0,LEAVE,LEAVE
188,C100260,1.0,LEAVE,LEAVE
189,C100262,1.0,STAY,LEAVE
190,C100263,1.0,STAY,LEAVE
191,C100264,1.0,LEAVE,LEAVE
192,C100265,1.0,STAY,LEAVE
193,C100266,1.0,LEAVE,STAY
194,C100268,1.0,LEAVE,LEAVE
195,C100269,1.0,LEAVE,LEAVE
196,C100270,1.0,STAY,STAY
197,C100271,1.0,STAY,LEAVE
198,C100272,1.0,STAY,STAY
199,C100273,1.0,LEAVE,LEAVE
200,C100274,1.0,STAY,STAY
201,C100276,1.0,LEAVE,LEAVE
202,C100277,1.0,STAY,STAY
203,C100278,1.0,LEAVE,LEAVE
204,C100279,1.0,STAY,LEAVE
205,C100280,1.0,LEAVE,STAY
206,C100281,1.0,LEAVE,LEAVE
207,C100282,1.0,LEAVE,LEAVE
208,C100283,1.0,LEAVE,LEAVE
209,C100284,1.0,LEAVE,LEAVE
210,C100286,1.0,STAY,LEAVE
211,C100287,1.0,STAY,STAY
212,C100288,1.0,STAY,LEAVE
213,C100289,1.0,LEAVE,LEAVE
214,C100290,1.0,STAY,STAY
215,C100292,1.0,LEAVE,STAY
216,C100293,1.0,LEAVE,STAY
217,C100295,1.0,LEAVE,LEAVE
218,C100297,1.0,LEAVE,LEAVE
219,C100298,1.0,LEAVE,LEAVE
220,C100299,1.0,STAY,STAY
221,C100300,1.0,LEAVE,LEAVE
222,C100305,1.0,STAY,LEAVE
223,C100306,1.0,LEAVE,LEAVE
224,C100307,1.0,LEAVE,LEAVE
225,C100308,1.0,LEAVE,LEAVE
226,C100309,1.0,STAY,STAY
227,C100313,1.0,LEAVE,LEAVE
228,C100314,1.0,STAY,STAY
229,C100316,1.0,STAY,STAY
230,C100317,1.0,LEAVE,LEAVE
231,C100319,1.0,LEAVE,STAY
232,C100321,1.0,LEAVE,LEAVE
233,C100322,1.0,STAY,LEAVE
234,C100323,1.0,STAY,LEAVE
235,C100325,1.0,STAY,LEAVE
236,C100326,1.0,STAY,STAY
237,C100327,1.0,LEAVE,LEAVE
238,C100328,1.0,LEAVE,STAY
239,C100330,1.0,STAY,LEAVE
240,C100332,1.0,STAY,LEAVE
241,C100333,1.0,STAY,STAY
242,C100334,1.0,LEAVE,STAY
243,C100335,1.0,STAY,LEAVE
244,C100336,1.0,LEAVE,LEAVE
245,C100337,1.0,LEAVE,LEAVE
246,C100342,1.0,LEAVE,LEAVE
247,C100343,1.0,STAY,STAY
248,C100344,1.0,LEAVE,LEAVE
249,C100345,1.0,STAY,STAY
250,C100346,1.0,LEAVE,LEAVE
251,C100347,1.0,LEAVE,STAY
252,C100348,1.0,LEAVE,LEAVE
253,C100349,1.0,LEAVE,LEAVE
254,C100350,1.0,STAY,STAY
255,C100351,1.0,LEAVE,LEAVE
256,C100352,1.0,STAY,STAY
257,C100353,1.0,STAY,STAY
258,C100354,1.0,LEAVE,LEAVE
259,C100357,1.0,STAY,STAY
260,C100359,1.0,LEAVE,LEAVE
261,C100360,1.0,LEAVE,LEAVE
262,C100361,1.0,LEAVE,LEAVE
263,C100363,1.0,LEAVE,STAY
264,C100364,1.0,STAY,LEAVE
265,C100365,1.0,STAY,STAY
266,C100366,1.0,LEAVE,LEAVE
267,C100367,1.0,STAY,STAY
268,C100368,1.0,STAY,STAY
269,C100369,1.0,LEAVE,LEAVE
270,C100370,1.0,LEAVE,LEAVE
271,C100371,1.0,LEAVE,STAY
272,C100372,1.0,STAY,STAY
273,C100373,1.0,LEAVE,LEAVE
274,C100374,1.0,LEAVE,LEAVE
275,C100375,1.0,LEAVE,LEAVE
276,C100377,1.0,LEAVE,LEAVE
277,C100378,1.0,LEAVE,STAY
278,C100379,1.0,LEAVE,LEAVE
279,C100380,1.0,LEAVE,STAY
280,C100381,1.0,STAY,STAY
281,C100382,1.0,STAY,LEAVE
282,C100383,1.0,LEAVE,LEAVE
283,C100384,1.0,LEAVE,LEAVE
284,C100385,1.0,STAY,LEAVE
285,C100386,1.0,LEAVE,LEAVE
286,C100387,1.0,STAY,LEAVE
287,C100388,0.96,LEAVE,LEAVE
288,C100389,0.96,STAY,LEAVE
289,C100390,0.96,LEAVE,LEAVE
290,C100391,0.96,LEAVE,LEAVE
291,C100393,0.96,STAY,STAY
292,C100394,0.96,STAY,LEAVE
293,C100395,0.96,LEAVE,LEAVE
294,C100397,0.96,LEAVE,STAY
295,C100398,0.96,STAY,STAY
296,C100399,0.96,STAY,LEAVE
297,C100400,0.96,STAY,STAY
298,C100402,0.96,STAY,STAY
299,C100403,0.96,LEAVE,LEAVE
300,C100404,0.96,STAY,LEAVE
301,C100405,0.96,STAY,STAY
302,C100406,0.96,LEAVE,STAY
303,C100407,0.9571428571428572,STAY,STAY
304,C100409,0.9571428571428572,LEAVE,LEAVE
305,C100410,0.9571428571428572,LEAVE,LEAVE
306,C100411,0.9571428571428572,LEAVE,LEAVE
307,C100413,0.9571428571428572,LEAVE,LEAVE
308,C100414,0.9571428571428572,LEAVE,LEAVE
309,C100415,0.9571428571428572,STAY,STAY
310,C100417,0.9571428571428572,LEAVE,STAY
311,C100420,0.9571428571428572,STAY,LEAVE
312,C100421,0.9571428571428572,STAY,STAY
313,C100422,0.9571428571428572,LEAVE,STAY
314,C100423,0.9571428571428572,STAY,STAY
315,C100425,0.9571428571428572,STAY,STAY
316,C100426,0.9571428571428572,LEAVE,LEAVE
317,C100428,0.9571428571428572,LEAVE,LEAVE
318,C100429,0.9571428571428572,LEAVE,STAY
319,C100430,0.9571428571428572,STAY,LEAVE
320,C100431,0.9571428571428572,STAY,STAY
321,C100433,0.9571428571428572,LEAVE,LEAVE
322,C100434,0.9571428571428572,LEAVE,LEAVE
323,C100435,0.9571428571428572,LEAVE,LEAVE
324,C100437,0.9571428571428572,STAY,LEAVE
325,C100439,0.9571428571428572,STAY,STAY
326,C100440,0.9571428571428572,LEAVE,LEAVE
327,C100441,0.9565217391304348,STAY,STAY
328,C100444,0.9565217391304348,LEAVE,LEAVE
329,C100446,0.9565217391304348,LEAVE,STAY
330,C100447,0.9565217391304348,STAY,LEAVE
331,C100448,0.9523809523809523,STAY,LEAVE
332,C100450,0.9523809523809523,LEAVE,LEAVE
333,C100452,0.9523809523809523,LEAVE,LEAVE
334,C100453,0.9523809523809523,STAY,STAY
335,C100455,0.9523809523809523,STAY,STAY
336,C100456,0.9523809523809523,STAY,STAY
337,C100459,0.9523809523809523,LEAVE,LEAVE
338,C100460,0.9523809523809523,LEAVE,LEAVE
339,C100461,0.9333333333333333,LEAVE,LEAVE
340,C100462,0.9333333333333333,LEAVE,LEAVE
341,C100463,0.9333333333333333,STAY,STAY
342,C100464,0.9285714285714286,STAY,LEAVE
343,C100465,0.9285714285714286,STAY,LEAVE
344,C100466,0.9285714285714286,STAY,STAY
345,C100469,0.9285714285714286,STAY,LEAVE
346,C100471,0.9285714285714286,LEAVE,STAY
347,C100472,0.9285714285714286,LEAVE,LEAVE
348,C100473,0.9285714285714286,LEAVE,LEAVE
349,C100474,0.9285714285714286,LEAVE,LEAVE
350,C100475,0.9285714285714286,STAY,STAY
351,C100476,0.9285714285714286,STAY,STAY
352,C100477,0.9285714285714286,STAY,STAY
353,C100478,0.9230769230769231,STAY,LEAVE
354,C100479,0.9230769230769231,LEAVE,LEAVE
355,C100481,0.9230769230769231,STAY,LEAVE
356,C100482,0.9230769230769231,STAY,LEAVE
357,C100483,0.9230769230769231,STAY,LEAVE
358,C100484,0.9230769230769231,LEAVE,LEAVE
359,C100485,0.9230769230769231,STAY,STAY
360,C100486,0.9230769230769231,STAY,LEAVE
361,C100488,0.9230769230769231,LEAVE,LEAVE
362,C100489,0.9230769230769231,LEAVE,LEAVE
363,C100492,0.9230769230769231,LEAVE,STAY
364,C100493,0.9183673469387755,STAY,STAY
365,C100494,0.9183673469387755,STAY,LEAVE
366,C100495,0.9183673469387755,LEAVE,STAY
367,C100496,0.9183673469387755,STAY,LEAVE
368,C100497,0.9183673469387755,STAY,STAY
369,C100498,0.9183673469387755,LEAVE,LEAVE
370,C100499,0.9183673469387755,LEAVE,STAY
371,C100500,0.9183673469387755,STAY,LEAVE
372,C100501,0.9183673469387755,LEAVE,LEAVE
373,C100502,0.9183673469387755,LEAVE,LEAVE
374,C100503,0.9183673469387755,LEAVE,STAY
375,C100504,0.9183673469387755,STAY,STAY
376,C100505,0.9183673469387755,STAY,STAY
377,C100507,0.9183673469387755,LEAVE,LEAVE
378,C100508,0.9183673469387755,STAY,LEAVE
379,C100509,0.9183673469387755,STAY,STAY
380,C100510,0.9183673469387755,LEAVE,LEAVE
381,C100511,0.9183673469387755,LEAVE,LEAVE
382,C100513,0.9183673469387755,LEAVE,STAY
383,C100514,0.9183673469387755,LEAVE,LEAVE
384,C100516,0.9183673469387755,STAY,STAY
385,C100518,0.9183673469387755,LEAVE,LEAVE
386,C100519,0.9183673469387755,LEAVE,LEAVE
387,C100520,0.9139784946236559,STAY,STAY
388,C100521,0.9139784946236559,STAY,LEAVE
389,C100522,0.9139784946236559,STAY,LEAVE
390,C100523,0.9139784946236559,STAY,LEAVE
391,C100525,0.9139784946236559,LEAVE,LEAVE
392,C100526,0.9139784946236559,STAY,LEAVE
393,C100527,0.9139784946236559,LEAVE,LEAVE
394,C100528,0.9139784946236559,STAY,LEAVE
395,C100529,0.9139784946236559,STAY,STAY
396,C100530,0.9139784946236559,LEAVE,LEAVE
397,C100531,0.9139784946236559,LEAVE,LEAVE
398,C100533,0.9139784946236559,LEAVE,LEAVE
399,C100535,0.9139784946236559,STAY,STAY
400,C100536,0.9139784946236559,LEAVE,LEAVE
401,C100539,0.9139784946236559,STAY,STAY
402,C100540,0.9139784946236559,LEAVE,LEAVE
403,C100541,0.9139784946236559,STAY,STAY
404,C100542,0.9139784946236559,LEAVE,LEAVE
405,C100543,0.9139784946236559,STAY,STAY
406,C100544,0.9139784946236559,STAY,STAY
407,C100545,0.9139784946236559,STAY,LEAVE
408,C100547,0.9139784946236559,STAY,STAY
409,C100548,0.9139784946236559,STAY,STAY
410,C100549,0.9139784946236559,STAY,LEAVE
411,C100550,0.9139784946236559,STAY,LEAVE
412,C100551,0.9139784946236559,STAY,STAY
413,C100552,0.9139784946236559,LEAVE,LEAVE
414,C100553,0.9139784946236559,STAY,STAY
415,C100555,0.9139784946236559,LEAVE,LEAVE
416,C100556,0.9139784946236559,LEAVE,LEAVE
417,C100558,0.9,STAY,LEAVE
418,C100559,0.9,LEAVE,STAY
419,C100560,0.9,LEAVE,LEAVE
420,C100562,0.8952380952380953,STAY,LEAVE
421,C100563,0.8952380952380953,STAY,STAY
422,C100564,0.8952380952380953,LEAVE,LEAVE
423,C100565,0.8952380952380953,LEAVE,LEAVE
424,C100566,0.8952380952380953,STAY,STAY
425,C100569,0.8952380952380953,LEAVE,LEAVE
426,C100571,0.8952380952380953,LEAVE,LEAVE
427,C100572,0.8952380952380953,LEAVE,LEAVE
428,C100573,0.8952380952380953,LEAVE,LEAVE
429,C100575,0.8952380952380953,LEAVE,LEAVE
430,C100577,0.8952380952380953,STAY,LEAVE
431,C100579,0.8952380952380953,LEAVE,LEAVE
432,C100581,0.8952380952380953,STAY,STAY
433,C100582,0.8952380952380953,LEAVE,LEAVE
434,C100583,0.8952380952380953,STAY,STAY
435,C100584,0.8952380952380953,STAY,STAY
436,C100586,0.8952380952380953,STAY,STAY
437,C100588,0.8952380952380953,LEAVE,STAY
438,C100589,0.8952380952380953,LEAVE,LEAVE
439,C100590,0.8952380952380953,STAY,LEAVE
440,C100592,0.8952380952380953,LEAVE,STAY
441,C100593,0.8952380952380953,LEAVE,STAY
442,C100594,0.8952380952380953,STAY,STAY
443,C100597,0.8952380952380953,LEAVE,LEAVE
444,C100600,0.8952380952380953,STAY,STAY
445,C100601,0.8952380952380953,STAY,LEAVE
446,C100602,0.8952380952380953,LEAVE,LEAVE
447,C100603,0.8952380952380953,LEAVE,LEAVE
448,C100604,0.8952380952380953,LEAVE,LEAVE
449,C100605,0.8952380952380953,STAY,STAY
450,C100606,0.8952380952380953,LEAVE,LEAVE
451,C100607,0.8952380952380953,LEAVE,LEAVE
452,C100608,0.8952380952380953,LEAVE,LEAVE
453,C100610,0.8952380952380953,LEAVE,LEAVE
454,C100612,0.8952380952380953,STAY,STAY
455,C100613,0.8952380952380953,LEAVE,LEAVE
456,C100615,0.8823529411764706,STAY,LEAVE
457,C100618,0.8823529411764706,LEAVE,LEAVE
458,C100619,0.875,STAY,STAY
459,C100620,0.875,LEAVE,LEAVE
460,C100621,0.875,STAY,LEAVE
461,C100622,0.875,STAY,STAY
462,C100624,0.875,LEAVE,LEAVE
463,C100625,0.875,LEAVE,LEAVE
464,C100626,0.875,STAY,STAY
465,C100627,0.875,LEAVE,LEAVE
466,C100628,0.875,STAY,STAY
467,C100629,0.875,LEAVE,LEAVE
468,C100633,0.875,STAY,STAY
469,C100635,0.875,LEAVE,LEAVE
470,C100636,0.875,STAY,STAY
471,C100637,0.875,STAY,STAY
472,C100638,0.875,LEAVE,LEAVE
473,C100639,0.875,STAY,STAY
474,C100640,0.875,LEAVE,LEAVE
475,C100641,0.875,LEAVE,STAY
476,C100642,0.875,STAY,STAY
477,C100645,0.875,LEAVE,STAY
478,C100646,0.875,STAY,STAY
479,C100648,0.875,STAY,LEAVE
480,C100650,0.8666666666666667,STAY,LEAVE
481,C100653,0.8666666666666667,STAY,LEAVE
482,C100654,0.8666666666666667,LEAVE,STAY
483,C100655,0.8666666666666667,STAY,LEAVE
484,C100656,0.8666666666666667,STAY,STAY
485,C100657,0.8666666666666667,LEAVE,LEAVE
486,C100658,0.8666666666666667,LEAVE,LEAVE
487,C100660,0.8666666666666667,STAY,STAY
488,C100661,0.8666666666666667,STAY,STAY
489,C100662,0.8636363636363636,LEAVE,STAY
490,C100664,0.8636363636363636,LEAVE,STAY
491,C100665,0.8636363636363636,LEAVE,LEAVE
492,C100666,0.8636363636363636,STAY,LEAVE
493,C100668,0.8571428571428571,STAY,LEAVE
494,C100670,0.8571428571428571,STAY,STAY
495,C100671,0.8571428571428571,LEAVE,LEAVE
496,C100672,0.8571428571428571,LEAVE,LEAVE
497,C100673,0.8571428571428571,STAY,STAY
498,C100674,0.8571428571428571,LEAVE,LEAVE
499,C100676,0.8571428571428571,STAY,LEAVE
500,C100677,0.8571428571428571,STAY,STAY
501,C100678,0.8518518518518519,STAY,STAY
502,C100680,0.8518518518518519,LEAVE,LEAVE
503,C100681,0.8518518518518519,STAY,STAY
504,C100682,0.8518518518518519,LEAVE,STAY
505,C100683,0.8518518518518519,STAY,STAY
506,C100685,0.8518518518518519,STAY,STAY
507,C100686,0.8518518518518519,LEAVE,STAY
508,C100689,0.85,STAY,STAY
509,C100690,0.85,STAY,LEAVE
510,C100691,0.85,STAY,LEAVE
511,C100692,0.85,STAY,STAY
512,C100693,0.85,LEAVE,LEAVE
513,C100694,0.85,LEAVE,LEAVE
514,C100695,0.85,LEAVE,LEAVE
515,C100696,0.85,LEAVE,LEAVE
516,C100697,0.85,LEAVE,LEAVE
517,C100698,0.85,LEAVE,LEAVE
518,C100699,0.85,LEAVE,LEAVE
519,C100700,0.8333333333333334,STAY,STAY
520,C100701,0.8333333333333334,LEAVE,STAY
521,C100702,0.8333333333333334,STAY,STAY
522,C100703,0.8333333333333334,LEAVE,LEAVE
523,C100704,0.8333333333333334,LEAVE,LEAVE
524,C100705,0.8333333333333334,LEAVE,LEAVE
525,C100706,0.8333333333333334,LEAVE,LEAVE
526,C100707,0.8333333333333334,LEAVE,LEAVE
527,C100709,0.8333333333333334,STAY,STAY
528,C100710,0.8333333333333334,LEAVE,STAY
529,C100712,0.8333333333333334,LEAVE,LEAVE
530,C100715,0.8333333333333334,LEAVE,LEAVE
531,C100716,0.8333333333333334,LEAVE,LEAVE
532,C100717,0.8333333333333334,LEAVE,LEAVE
533,C100718,0.8333333333333334,LEAVE,LEAVE
534,C100719,0.8333333333333334,LEAVE,LEAVE
535,C100720,0.8333333333333334,STAY,STAY
536,C100721,0.8333333333333334,STAY,LEAVE
537,C100722,0.8333333333333334,LEAVE,LEAVE
538,C100723,0.8333333333333334,LEAVE,LEAVE
539,C100724,0.8260869565217391,LEAVE,LEAVE
540,C100725,0.8260869565217391,LEAVE,LEAVE
541,C100726,0.8260869565217391,STAY,STAY
542,C100727,0.8260869565217391,STAY,STAY
543,C100728,0.8260869565217391,STAY,STAY
544,C100729,0.8253968253968254,LEAVE,LEAVE
545,C100732,0.8253968253968254,STAY,LEAVE
546,C100734,0.8253968253968254,STAY,LEAVE
547,C100735,0.8253968253968254,LEAVE,STAY
548,C100738,0.8253968253968254,LEAVE,LEAVE
549,C100739,0.8253968253968254,LEAVE,LEAVE
550,C100740,0.8253968253968254,LEAVE,STAY
551,C100741,0.8253968253968254,LEAVE,LEAVE
552,C100742,0.8253968253968254,LEAVE,LEAVE
553,C100743,0.8253968253968254,STAY,STAY
554,C100744,0.8253968253968254,LEAVE,LEAVE
555,C100745,0.8253968253968254,STAY,LEAVE
556,C100746,0.8253968253968254,STAY,LEAVE
557,C100747,0.8253968253968254,STAY,LEAVE
558,C100749,0.8253968253968254,STAY,STAY
559,C100750,0.8253968253968254,STAY,LEAVE
560,C100751,0.8253968253968254,STAY,LEAVE
561,C100752,0.8253968253968254,STAY,LEAVE
562,C100753,0.8253968253968254,LEAVE,LEAVE
563,C100754,0.8253968253968254,LEAVE,LEAVE
564,C100755,0.8253968253968254,STAY,STAY
565,C100757,0.8253968253968254,STAY,STAY
566,C100758,0.8253968253968254,LEAVE,STAY
567,C100759,0.8235294117647058,STAY,STAY
568,C100760,0.8235294117647058,LEAVE,STAY
569,C100762,0.8235294117647058,LEAVE,LEAVE
570,C100763,0.8235294117647058,STAY,LEAVE
571,C100764,0.8235294117647058,LEAVE,LEAVE
572,C100767,0.8235294117647058,STAY,LEAVE
573,C100768,0.8235294117647058,LEAVE,LEAVE
574,C100769,0.8235294117647058,STAY,LEAVE
575,C100770,0.8235294117647058,LEAVE,LEAVE
576,C100771,0.8235294117647058,LEAVE,LEAVE
577,C100772,0.8235294117647058,LEAVE,LEAVE
578,C100773,0.8235294117647058,LEAVE,LEAVE
579,C100774,0.8181818181818182,LEAVE,LEAVE
580,C100776,0.8181818181818182,LEAVE,LEAVE
581,C100777,0.8181818181818182,STAY,LEAVE
582,C100778,0.8181818181818182,LEAVE,LEAVE
583,C100779,0.8181818181818182,STAY,STAY
584,C100780,0.8181818181818182,LEAVE,STAY
585,C100781,0.8181818181818182,LEAVE,LEAVE
586,C100783,0.8181818181818182,LEAVE,LEAVE
587,C100784,0.8181818181818182,LEAVE,LEAVE
588,C100786,0.8181818181818182,STAY,STAY
589,C100787,0.8181818181818182,STAY,LEAVE
590,C100788,0.8181818181818182,STAY,STAY
591,C100789,0.8181818181818182,LEAVE,LEAVE
592,C100790,0.8181818181818182,LEAVE,STAY
593,C100791,0.8181818181818182,STAY,STAY
594,C100792,0.8181818181818182,STAY,STAY
595,C100796,0.8181818181818182,STAY,STAY
596,C100797,0.8181818181818182,STAY,LEAVE
597,C100798,0.8181818181818182,LEAVE,STAY
598,C100799,0.8181818181818182,STAY,STAY
599,C100800,0.8170731707317073,STAY,LEAVE
600,C100801,0.8170731707317073,STAY,STAY
601,C100803,0.8170731707317073,STAY,STAY
602,C100804,0.8170731707317073,STAY,LEAVE
603,C100805,0.8170731707317073,STAY,STAY
604,C100807,0.8170731707317073,LEAVE,STAY
605,C100808,0.8170731707317073,LEAVE,LEAVE
606,C100809,0.8170731707317073,LEAVE,LEAVE
607,C100810,0.8170731707317073,STAY,STAY
608,C100811,0.8170731707317073,STAY,STAY
609,C100812,0.8170731707317073,LEAVE,STAY
610,C100813,0.8170731707317073,LEAVE,STAY
611,C100815,0.8170731707317073,STAY,STAY
612,C100816,0.8170731707317073,LEAVE,LEAVE
613,C100819,0.8170731707317073,LEAVE,LEAVE
614,C100820,0.8170731707317073,STAY,STAY
